Product ID,Product Title,Product Subtitle,Product Label,Product Features,Product Images,Digital Assets - Main Product Image,Digital Assets - 45-Degree Angled View,Digital Assets - Front View,Digital Assets - Left Side View,Digital Assets - Right Side View,Digital Assets - Top View,Digital Assets - Back View,Digital Assets - Packaging 45 Degree Angled View,Digital Assets - Packaging Back View,Digital Assets - Packaging Front View,Digital Assets - Packaging Left Side View,Digital Assets - Packaging Right Side View,Digital Assets - Feature Image 1,Digital Assets - Feature Image 2,Digital Assets - Feature Image 3,Digital Assets - Feature Image 4,Digital Assets - Feature Image 5,Digital Assets - Feature Image 6,Digital Assets - Feature Image 7,Digital Assets - Additional Feature Images,Digital Assets - Lifestyle Image 1,Digital Assets - Lifestyle Image 2,Digital Assets - Lifestyle Image 3,Digital Assets - Lifestyle Image 4,Digital Assets - Lifestyle Image 5,Digital Assets - Lifestyle Image 6,Digital Assets - Lifestyle Image 7,Digital Assets - Additional Lifestyle Images,Digital Assets - Product Assembly Video,Digital Assets - Product Installation Video,Digital Assets - Product Marketing Video,Digital Assets - Product Teaser Video,Digital Assets - Product Training Video,Digital Assets - Assembly/Instructional Guide - PDF,Digital Assets - DoC (Declaration of Conformity) - PDF,Digital Assets - DoP (Declaration of Performance and Test Reports) - PDF,Digital Assets - Energy Guide - PDF,Digital Assets - FSC Certification for Packaging - PDF,Digital Assets - FSC Certification for Product - PDF,Digital Assets - Installation Guide - PDF,Digital Assets - POPs (Persistent Organic Pollutants) - PDF,Digital Assets - Product Certifications - PDF,"Digital Assets - REACH (Registration, Evaluation, Authorization, and Restriction of Chemicals) - PDF",Digital Assets - Safety Data Sheet (SDS) - PDF,Digital Assets - Sell Sheet - PDF,Digital Assets - SHVC (Substances of Very High Concern) - PDF,Digital Assets - Use & Care Manual - PDF,PRODUCT DESCRIPTIONS - Long Description,PRODUCT DESCRIPTIONS - Shortened Description,PRODUCT DESCRIPTIONS - Collated Feature & Benefit,PRODUCT DESCRIPTIONS - Sell Sheet - PDF,PRODUCT DESCRIPTIONS - Assembly/Instructional Guide - PDF,PRODUCT DESCRIPTIONS - Energy Guide - PDF,PRODUCT DESCRIPTIONS - Installation Guide - PDF,PRODUCT DESCRIPTIONS - Safety Data Sheet (SDS) - PDF,PRODUCT DESCRIPTIONS - Use & Care Manual - PDF,PRODUCT DESCRIPTIONS - Assembly/Instructional Guide - PDF,PRODUCT DESCRIPTIONS - Energy Guide - PDF,PRODUCT DESCRIPTIONS - Installation Guide - PDF,PRODUCT DESCRIPTIONS - Safety Data Sheet (SDS) - PDF,PRODUCT DESCRIPTIONS - Use & Care Manual - PDF,Packaged Dimensions - Package Depth - Centimeters,Packaged Dimensions - Package Depth - Inches,Packaged Dimensions - Package Depth - Millimeters,Packaged Dimensions - Package Height - Centimeters,Packaged Dimensions - Package Height - Inches,Packaged Dimensions - Package Height - Millimeters,Packaged Dimensions - Package Width - Centimeters,Packaged Dimensions - Package Width - Millimeters,Packaged Dimensions - Package Width - Inches,Packaged Dimensions - Package Weight - Grams,Packaged Dimensions - Package Weight - Kilograms,Packaged Dimensions - Package Weight - Pounds
OX-S489852,OX Safety Gloves Cut E - M,Site & Shop Accessories > Safety > Hand Protection,OX-S489852,,,,,http://images.salsify.com/image/upload/s--MkoIDo2a--/xalp33kciwaovw9pjhcj.png,,,,,,,http://images.salsify.com/image/upload/s--_T4rmjk5--/djeog2lnmble3rtlitrl.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,11.42,290.0,1.6,0.63,16.0,10.5,105.0,4.13,89,0.089,0.2
OX-06MPS,"OX Pro MPS 6"" Turbo Diamond Blade",Power Tool Accessories > Diamond Blades > Multi-Purpose Blades,OX-06MPS,,http://images.salsify.com/image/upload/s--JWefYOt0--/apr5rjjjucb4cnijzdks.png,http://images.salsify.com/image/upload/s--JWefYOt0--/apr5rjjjucb4cnijzdks.png,http://images.salsify.com/image/upload/s--48ZRRvzL--/hd8p1wzfjkmvqmdhwyxy.png,http://images.salsify.com/image/upload/s--1-mIEe07--/g7jd9wvw3twteegmaekj.png,,,,,http://images.salsify.com/image/upload/s--JWefYOt0--/apr5rjjjucb4cnijzdks.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,6.3,160.0,1,0.39,10.0,18,180.0,7.09,250,0.25,0.55
OX-T022603,OX Trade Line marker spray White,General Hand Tools > Marking > Marking Paint,OX-T022603,"Suitable for all road marking systems, Designed to produce high quality and highly visible lines, High colour pigment & fast drying, Ideal for marking a range of indoor and outdoor surfaces, Comes in 750ml aerosol spray cans",http://images.salsify.com/image/upload/s--zoZbHEkK--/fatbayotptllgfb7kdjq.png,http://images.salsify.com/image/upload/s--zoZbHEkK--/fatbayotptllgfb7kdjq.png,,http://images.salsify.com/image/upload/s--vptGyQCP--/cre4dxpadu5wbgewylk2.jpg,,,,,,,,,,http://images.salsify.com/image/upload/s--zoZbHEkK--/fatbayotptllgfb7kdjq.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://images.salsify.com/raw/upload/s--8Gc6O3Vd--/v2v6ihzzwi5mcnfwh2pw.docx,,,,,The OX 750ML Permanent Line Marker Spray (White) is suitable for all road marking systems. It boasts both high colour pigment and fast drying action.,"Suitable for all road marking systems, Designed to produce high quality and highly visible lines, High colour pigment & fast drying, Ideal for marking a range of indoor and outdoor surfaces, Comes in 750ml aerosol spray cans",,,,,http://images.salsify.com/raw/upload/s--8Gc6O3Vd--/v2v6ihzzwi5mcnfwh2pw.docx,,,,,http://images.salsify.com/raw/upload/s--8Gc6O3Vd--/v2v6ihzzwi5mcnfwh2pw.docx,,6.5,,65.0,34,,340.0,6.5,65.0,,750,0.75,1.74
OX-UCDTA-5,Ultimate Double Row Cup Wheel | Diameter: 5'' / 127mm | 11 Threaded Arbor |Bore: 5/8'' / 15mm,Power Tool Accessories > Cup Wheels > Double Row Cup Wheels,OX-UCDTA-5,,http://images.salsify.com/image/upload/s--H9wDKH7a--/ubrvaq9avcujclabfuhz.jpg,http://images.salsify.com/image/upload/s--H9wDKH7a--/ubrvaq9avcujclabfuhz.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19
OX-LTCTW24-7.25-10,OX Pro Lightning 184mm Circular Saw Blade | 24T - Bulk,Power Tool Accessories > Saw Blades > Wood Saw Blades,OX-LTCTW24-7.25-10,,http://images.salsify.com/image/upload/s--o1KcYFQd--/bjt1hyzgm4mzmwgbluy6.png,http://images.salsify.com/image/upload/s--o1KcYFQd--/bjt1hyzgm4mzmwgbluy6.png,http://images.salsify.com/image/upload/s--EkMnWxPF--/zmsd9umrxkwva2wrjwh6.jpg,http://images.salsify.com/image/upload/s--MvWzRZWQ--/ueqrcfyrt6czrfmtrg0e.png,,,,,,,http://images.salsify.com/image/upload/s--MvWzRZWQ--/ueqrcfyrt6czrfmtrg0e.png,,,http://images.salsify.com/image/upload/s--kyHUCrpq--/b3ih5th54dlmbyztsohy.png,,,,,,,,http://images.salsify.com/image/upload/s--lk9YJKp9--/o7gzyvjggvbqu41uaizr.jpg,http://images.salsify.com/image/upload/s--a-ZA0nbb--/clhd3dt4mlipdri8a6kl.jpg,http://images.salsify.com/image/upload/s--J6XClZzh--/zvo7nknsarccghothtav.jpg,http://images.salsify.com/image/upload/s--XN0Eip6f--/cyptseadrwmotmikph82.jpg,http://images.salsify.com/image/upload/s--CxERIIIr--/zvplyzlzf7ehvubygzlt.jpg,http://images.salsify.com/image/upload/s--JKuENiJ1--/xpwzjepbprxbskbliver.jpg,http://images.salsify.com/image/upload/s--3Z_4slqo--/ztcqzqhju0h51wlruqav.jpg,,,,"http://images.salsify.com/video/upload/s--dIvIMWFp--/dvubj2t0g3zhcgmvescw.mp4, http://images.salsify.com/video/upload/s--FmMfKH_V--/keuopagc0ythmzhemoet.mov, http://images.salsify.com/video/upload/s--MFmv5IsM--/ejyafgwf7doqwm5dlnn8.mp4",,,,,,,,,,,,,,"http://images.salsify.com/image/upload/s--aHwMWCJz--/fbiei4trt7sozqugra05.pdf, http://images.salsify.com/image/upload/s--55nWZzfq--/prshim8gggr6edfd4xif.pdf",,,,,,"http://images.salsify.com/image/upload/s--aHwMWCJz--/fbiei4trt7sozqugra05.pdf, http://images.salsify.com/image/upload/s--55nWZzfq--/prshim8gggr6edfd4xif.pdf",,,,,,,,,,,0.04,0.02,0.4,18.6,7.32,186.0,18.6,186.0,7.32,250,0.25,0.55
OX-UPSCA18-4,"Ultimate Spiral Cup Wheel | Diameter: 4"" / 100mm | 11 Threaded Arbor | 18 Segments | Bore: 7/8""- 5/8"" / 22mm - 15mm",Power Tool Accessories > Cup Wheels > Turbo Cup Wheels,OX-UPSCA18-4,,http://images.salsify.com/image/upload/s--y-Rar5tf--/j40e8i8s0esgwi3p1bi7.jpg,http://images.salsify.com/image/upload/s--y-Rar5tf--/j40e8i8s0esgwi3p1bi7.jpg,,http://images.salsify.com/image/upload/s--y-Rar5tf--/j40e8i8s0esgwi3p1bi7.jpg,,,,,,,,,,http://images.salsify.com/image/upload/s--3UjKMg9M--/fi1xitp2xn1b4b7om5df.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,,,5.2,,,,1,,,0.8
OX-P016933,OX Pro Plasterers' Hawk - 330mm x 330mm,Wet Trade Hand Tools > Plastering Tools > Hawks,OX-P016933,"Lightweight high-quality material, Sturdy construction for increased durability., -, .",http://images.salsify.com/image/upload/s--Rws8Nfkz--/ieoghf5j3fv0xncxvkpl.png,http://images.salsify.com/image/upload/s--Rws8Nfkz--/ieoghf5j3fv0xncxvkpl.png,http://images.salsify.com/image/upload/s--Rws8Nfkz--/ieoghf5j3fv0xncxvkpl.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The OX Pro Polyurethane Plasterers Hawk is made from a high quality lightweight material with sturdy construction for increased durability.,"Lightweight high-quality material, Sturdy construction for increased durability., -, .",,,,,,,,,,,,14,,140.0,33,,330.0,33,330.0,,380,0.38,1.21
OX-P016612,"Pro Aluminum Bullfloat | 48"" / 1200mm",Wet Trade Hand Tools > Concreting Tools > Bullfloats & Telescopic Handles,OX-P016612,,http://images.salsify.com/image/upload/s--OrJ4BFpB--/kbhbe7bssptoysickew7.jpg,http://images.salsify.com/image/upload/s--OrJ4BFpB--/kbhbe7bssptoysickew7.jpg,http://images.salsify.com/image/upload/s--5BRMch0y--/bcnyiecqzxz8sjfobnt5.png,,http://images.salsify.com/image/upload/s--Y_ygxizQ--/s39marluaisy1nae4vpz.png,,http://images.salsify.com/image/upload/s--p--L0b7p--/p1i1yizzvo1vzv9sfcan.png,http://images.salsify.com/image/upload/s--1pbKpZ0c--/mzzoomovejnp2t0aedkp.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,48.03,1220.0,25,9.84,250.0,7,70.0,2.76,2260,2.26,2.26
OX-P188203,OX 1800W Mixing Drill Spare Part - Circuit Board,Power Tools > Wet Trade Power Tools > Mixing Drills & Accessories,OX-P188203,,http://images.salsify.com/image/upload/s--ueaPL3NB--/cwrclctnlhhd6ysjctar.png,http://images.salsify.com/image/upload/s--ueaPL3NB--/cwrclctnlhhd6ysjctar.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.97,50.0,5,1.97,50.0,5,50.0,1.97,100,0.1,0.22
OX-P0110106,OX Pro Harling Trowel - 165mm X 165mm,Wet Trade Hand Tools > Plastering Tools > Plaster Trowels,OX-P0110106,"Used to throw pebbles onto the mortar when pebble dashing, DURAGRIP handle with finger protection, 165 x 165mm, -, .",http://images.salsify.com/image/upload/s--FIA0Lqgm--/tk1ukx76zsgsxcyrg7ke.png,http://images.salsify.com/image/upload/s--FIA0Lqgm--/tk1ukx76zsgsxcyrg7ke.png,http://images.salsify.com/image/upload/s--FIA0Lqgm--/tk1ukx76zsgsxcyrg7ke.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The OX Pro Aluminium Harling Trowel incorporates an ergonomically designed soft grip handle with finger protection, for use when throwing stones onto mortar when pebble dashing.","Used to throw pebbles onto the mortar when pebble dashing, DURAGRIP handle with finger protection, 165 x 165mm, -, .",,,,,,,,,,,,12.5,,125.0,36,,360.0,16.5,165.0,,494,0.494,1.13
